Approved Symbol	Phenotypes
LIPN	Ichthyosis, congenital, autosomal recessive 8, Autosomal recessive
ACTA2	Aortic aneurysm, familial thoracic 6, Autosomal dominant;Moyamoya disease 5;Multisystemic smooth muscle dysfunction syndrome, Autosomal dominant
FAS	Autoimmune lymphoproliferative syndrome, type IA, Autosomal dominant;Squamous cell carcinoma, burn scar-related, somatic (3)
LIPA	Cholesteryl ester storage disease, Autosomal recessive;Wolman disease, Autosomal recessive
SLC16A12	Cataract 47, juvenile, with microcornea, Autosomal dominant
KIF11	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation, Autosomal dominant
CYP26C1	Focal facial dermal dysplasia 4, Autosomal recessive
RBP4	Microphthalmia, isolated, with coloboma 10, Autosomal dominant;Retinal dystrophy, iris coloboma, and comedogenic acne syndrome, Autosomal recessive
PDE6C	Cone dystrophy 4, Autosomal recessive
LGI1	Epilepsy, familial temporal lobe, 1, Autosomal dominant
PLCE1	Nephrotic syndrome, type 3, Autosomal recessive
HELLS	Immunodeficiency-centromeric instability-facial anomalies syndrome 4, Autosomal recessive
CYP2C19	Clopidogrel, impaired responsiveness to, Autosomal recessive;Mephenytoin poor metabolizer, Autosomal recessive;Omeprazole poor metabolizer, Autosomal recessive;Proguanil poor metabolizer, Autosomal recessive
CYP2C9	Tolbutamide poor metabolizer (3);Warfarin sensitivity, Autosomal dominant
CYP2C8	Rhabdomyolysis, cerivastatin-induced (3)
ALDH18A1	Cutis laxa, autosomal dominant 3, Autosomal dominant;Cutis laxa, autosomal recessive, type IIIA, Autosomal recessive, Isolated cases;Spastic paraplegia 9A, autosomal dominant, Autosomal dominant;Spastic paraplegia 9B, autosomal recessive, Autosomal recessive
TCTN3	Joubert syndrome 18, Autosomal recessive;Orofaciodigital syndrome IV, Autosomal recessive
ENTPD1	Spastic paraplegia 64, autosomal recessive, Autosomal recessive
BLNK	Agammaglobulinemia 4, Autosomal recessive
HOGA1	Hyperoxaluria, primary, type III
ZFYVE27	Spastic paraplegia 33, autosomal dominant, Autosomal dominant
HPS1	Hermansky-Pudlak syndrome 1, Autosomal recessive
HPSE2	Urofacial syndrome 1, Autosomal recessive
GOT1	Aspartate aminotransferase, serum level of, QTL1
COX15	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, Autosomal recessive;Leigh syndrome due to cytochrome c oxidase deficiency, Autosomal recessive, Mitochondrial
ABCC2	Dubin-Johnson syndrome, Autosomal recessive
CPN1	Carboxypeptidase N deficiency, Autosomal recessive
ERLIN1	Spastic paraplegia 62, Autosomal recessive
CHUK	Cocoon syndrome
CWF19L1	Spinocerebellar ataxia, autosomal recessive 17, Autosomal recessive
PAX2	Glomerulosclerosis, focal segmental, 7, Autosomal dominant;Papillorenal syndrome, Autosomal dominant
TWNK	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), Autosomal recessive;Perrault syndrome 5, Autosomal recessive;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, Autosomal dominant
PDZD7	Usher syndrome, type IIC, GPR98/PDZD7 digenic, Autosomal recessive, Digenic dominant
FGF8	Hypogonadotropic hypogonadism 6 with or without anosmia
HPS6	Hermansky-Pudlak syndrome 6
PITX3	Anterior segment dysgenesis 1, multiple subtypes, Autosomal dominant;Cataract 11, multiple types, Autosomal dominant;Cataract 11, syndromic, Autosomal dominant
NFKB2	Immunodeficiency, common variable, 10, Autosomal dominant
SUFU	Basal cell nevus syndrome, Autosomal dominant;Medulloblastoma, desmoplastic, Autosomal recessive, Autosomal dominant
CYP17A1	17-alpha-hydroxylase/17,20-lyase deficiency, Autosomal recessive;17,20-lyase deficiency, isolated, Autosomal recessive
CNNM2	Hypomagnesemia 6, renal, Autosomal dominant;Hypomagnesemia, seizures, and mental retardation, Autosomal recessive, Autosomal dominant
NT5C2	Spastic paraplegia 45, autosomal recessive, Autosomal recessive
STN1	Cerebroretinal microangiopathy with calcifications and cysts 2, Autosomal recessive
COL17A1	Epidermolysis bullosa, junctional, localisata variant, Autosomal recessive;Epidermolysis bullosa, junctional, non-Herlitz type, Autosomal recessive;Epithelial recurrent erosion dystrophy, Autosomal dominant
ADD3	Cerebral palsy, spastic quadriplegic, 3, Autosomal recessive
MXI1	Neurofibrosarcoma (3)
SMC3	Cornelia de Lange syndrome 3, Autosomal dominant
RBM20	Cardiomyopathy, dilated, 1DD, Autosomal dominant
SHOC2	Noonan-like syndrome with loose anagen hair, Autosomal dominant
PNLIP	Pancreatic lipase deficiency, Autosomal recessive
CORD17	Cone-rod dystrophy 17, Autosomal dominant
EMX2	Schizencephaly
NANOS1	Spermatogenic failure 12, Autosomal dominant
SFXN4	Combined oxidative phosphorylation deficiency 18, Autosomal recessive
BAG3	Cardiomyopathy, dilated, 1HH, Autosomal dominant;Myopathy, myofibrillar, 6, Autosomal dominant
WDR11	Hypogonadotropic hypogonadism 14 with or without anosmia, Autosomal dominant
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis, Autosomal recessive;Apert syndrome, Autosomal dominant;Beare-Stevenson cutis gyrata syndrome, Autosomal dominant;Bent bone dysplasia syndrome, Autosomal dominant;Craniofacial-skeletal-dermatologic dysplasia, Autosomal dominant;Craniosynostosis, nonspecific (3);Crouzon syndrome, Autosomal dominant;Gastric cancer, somatic;Jackson-Weiss syndrome, Autosomal dominant;LADD syndrome, Autosomal dominant;Pfeiffer syndrome, Autosomal dominant;Saethre-Chotzen syndrome, Autosomal dominant;Scaphocephaly and Axenfeld-Rieger anomaly (3);Scaphocephaly, maxillary retrusion, and mental retardation
HTRA1	CARASIL syndrome, Autosomal recessive;Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2, Autosomal dominant
ACADSB	2-methylbutyrylglycinuria, Autosomal recessive
OAT	Gyrate atrophy of choroid and retina with or without ornithinemia, Autosomal recessive
MMP21	Heterotaxy, visceral, 7, autosomal, Autosomal recessive
UROS	Porphyria, congenital erythropoietic, Autosomal recessive
EBF3	Hypotonia, ataxia, and delayed development syndrome, Autosomal dominant
ECHS1	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, Autosomal recessive
GINGF4	Fibromatosis, gingival, 4
NNO1	Nanophthalmos-1, Autosomal dominant
IFITM5	Osteogenesis imperfecta, type V, Autosomal dominant
HRAS	Congenital myopathy with excess of muscle spindles, Autosomal dominant, Isolated cases;Costello syndrome, Autosomal dominant, Isolated cases;Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic
DRD4	Autonomic nervous system dysfunction (3)
DEAF1	Mental retardation, autosomal dominant 24, Autosomal dominant
TALDO1	Transaldolase deficiency, Autosomal recessive
SLC25A22	Epileptic encephalopathy, early infantile, 3, Autosomal recessive
PNPLA2	Neutral lipid storage disease with myopathy, Autosomal recessive
CD151	Nephropathy with pretibial epidermolysis bullosa and deafness
CTSD	Ceroid lipofuscinosis, neuronal, 10, Autosomal recessive
TNNI2	Arthrogryposis multiplex congenita, distal, type 2B, Autosomal dominant
TNNT3	Arthyrgryposis, distal, type 2B, Autosomal dominant
H19	Beckwith-Wiedemann syndrome, Autosomal dominant;Silver-Russell syndrome, Isolated cases;Wilms tumor 2, Autosomal dominant, Somatic mutation
INS	Diabetes mellitus, insulin-dependent, 2, Autosomal dominant;Diabetes mellitus, permanent neonatal, Autosomal dominant;Hyperproinsulinemia, Autosomal dominant;Maturity-onset diabetes of the young, type 10, Autosomal dominant
TH	Segawa syndrome, recessive, Autosomal recessive
CD81	Immunodeficiency, common variable, 6, Autosomal recessive
KCNQ1	Atrial fibrillation, familial, 3, Autosomal dominant;Jervell and Lange-Nielsen syndrome, Autosomal recessive;Long QT syndrome 1, Autosomal dominant;Short QT syndrome 2, Autosomal dominant
KCNQ1OT1	Beckwith-Wiedemann syndrome, Autosomal dominant
CDKN1C	Beckwith-Wiedemann syndrome, Autosomal dominant;IMAGE syndrome, Autosomal dominant
SLC22A18	Breast cancer, somatic;Lung cancer, somatic;Rhabdomyosarcoma, somatic
PGAP2	Hyperphosphatasia with mental retardation syndrome 3, Autosomal recessive
STIM1	Immunodeficiency 10, Autosomal recessive;Myopathy, tubular aggregate, 1, Autosomal dominant;Stormorken syndrome, Autosomal dominant
HBB	Delta-beta thalassemia, Autosomal dominant;Erythremias, beta- (3);Heinz body anemias, beta-, Autosomal dominant;Hereditary persistence of fetal hemoglobin, Autosomal dominant;Methemoglobinemias, beta- (3);Sickle cell anemia, Autosomal recessive;Thalassemia-beta, dominant inclusion-body;Thalassemias, beta-
HBD	Thalassemia due to Hb Lepore (3);Thalassemia, delta- (3)
HBG1	Fetal hemoglobin quantitative trait locus 1, Autosomal dominant
HBG2	Cyanosis, transient neonatal, Autosomal dominant;Fetal hemoglobin quantitative trait locus 1, Autosomal dominant
SMPD1	Niemann-Pick disease, type A, Autosomal recessive;Niemann-Pick disease, type B, Autosomal recessive
TPP1	Ceroid lipofuscinosis, neuronal, 2, Autosomal recessive;Spinocerebellar ataxia, autosomal recessive 7, Autosomal recessive
DCHS1	Mitral valve prolapse 2, Autosomal dominant;Van Maldergem syndrome 1, Autosomal recessive
LMO1	Leukemia, T-cell acute lymphoblastic
DENND5A	Epileptic encephalopathy, early infantile, 49
SBF2	Charcot-Marie-Tooth disease, type 4B2, Autosomal recessive
TEAD1	Sveinsson chorioretinal atrophy, Autosomal dominant
PTH	Hypoparathyroidism, autosomal dominant, Autosomal dominant;Hypoparathyroidism, autosomal recessive, Autosomal dominant
FAR1	Peroxisomal fatty acyl-CoA reductase 1 disorder, Autosomal recessive
RRAS2	Ovarian carcinoma (3)
CYP2R1	Rickets due to defect in vitamin D 25-hydroxylation, Autosomal recessive
KCNJ11	Diabetes mellitus, transient neonatal, 3, Autosomal dominant;Diabetes, permanent neonatal, with or without neurologic features, Autosomal dominant;Hyperinsulinemic hypoglycemia, familial, 2, Autosomal recessive;Maturity-onset diabetes of the young, type 13, Autosomal dominant
ABCC8	Diabetes mellitus, noninsulin-dependent, Autosomal dominant;Diabetes mellitus, permanent neonatal, Autosomal dominant;Diabetes mellitus, transient neonatal 2;Hyperinsulinemic hypoglycemia, familial, 1, Autosomal recessive, Autosomal dominant;Hypoglycemia of infancy, leucine-sensitive, Autosomal dominant
USH1C	Deafness, autosomal recessive 18A, Autosomal recessive;Usher syndrome, type 1C, Autosomal recessive
OTOG	Deafness, autosomal recessive 18B, Autosomal recessive
KCNC1	Epilepsy, progressive myoclonic 7, Autosomal dominant
HPS5	Hermansky-Pudlak syndrome 5
LDHA	Glycogen storage disease XI, Autosomal recessive
TSG101	Breast cancer, somatic
CSRP3	Cardiomyopathy, hypertrophic, 12, Autosomal dominant
SLC6A5	Hyperekplexia 3, Autosomal recessive, Autosomal dominant
ANO5	Gnathodiaphyseal dysplasia, Autosomal dominant;Miyoshi muscular dystrophy 3, Autosomal recessive;Muscular dystrophy, limb-girdle, type 2L, Autosomal recessive
FANCF	Fanconi anemia, complementation group F
ANO3	Dystonia 24, Autosomal dominant
DFNA59	Deafness, autosomal dominant 59, Autosomal dominant
BDNF	Central hypoventilation syndrome, congenital, Autosomal dominant
FSHB	Hypogonadotropic hypogonadism 24 without anosmia, Autosomal recessive
CANDN1	Candidiasis, familial, 3, Autosomal dominant
DFNB51	Deafness, autosomal recessive 51, Autosomal recessive
EVR3	Exudative vitreoretinopathy 3, Autosomal dominant
MRT23	Mental retardation, autosomal recessive 23, Autosomal recessive
MYP7	Myopia 7, Multifactorial
PAX6	Aniridia, Autosomal dominant;Anterior segment dysgenesis 5, multiple subtypes;Cataract with late-onset corneal dystrophy, Autosomal dominant;Foveal hypoplasia 1, Autosomal dominant;Keratitis, Autosomal dominant;Optic nerve hypoplasia, Autosomal dominant
WT1	Denys-Drash syndrome, Autosomal dominant, Somatic mutation;Frasier syndrome, Autosomal dominant, Somatic mutation;Meacham syndrome;Mesothelioma, somatic;Nephrotic syndrome, type 4, Autosomal dominant;Wilms tumor, type 1, Autosomal dominant, Somatic mutation
CD59	Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, Autosomal recessive
LMO2	Leukemia, acute T-cell
CAT	Acatalasemia
PDHX	Lacticacidemia due to PDX1 deficiency, Autosomal recessive
SLC1A2	Epileptic encephalopathy, early infantile, 41, Autosomal dominant
RAG1	Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity;Combined cellular and humoral immune defects with granulomas, Autosomal recessive;Omenn syndrome, Autosomal recessive;Severe combined immunodeficiency, B cell-negative, Autosomal recessive
RAG2	Combined cellular and humoral immune defects with granulomas, Autosomal recessive;Omenn syndrome, Autosomal recessive;Severe combined immunodeficiency, B cell-negative, Autosomal recessive
EXT2	Exostoses, multiple, type 2, Autosomal dominant
ALX4	Frontonasal dysplasia 2, Autosomal recessive;Parietal foramina 2, Autosomal dominant
SLC35C1	Congenital disorder of glycosylation, type IIc, Autosomal recessive
PEX16	Peroxisome biogenesis disorder 8A (Zellweger), Autosomal recessive;Peroxisome biogenesis disorder 8B, Autosomal recessive
ZNF408	Retinitis pigmentosa 72, Autosomal recessive
F2	Dysprothrombinemia, Autosomal recessive;Hypoprothrombinemia, Autosomal recessive;Thrombophilia due to thrombin defect, Autosomal dominant
LRP4	Cenani-Lenz syndactyly syndrome, Autosomal recessive;Sclerosteosis 2, Autosomal recessive, Autosomal dominant
DDB2	Xeroderma pigmentosum, group E, DDB-negative subtype, Autosomal recessive
MYBPC3	Cardiomyopathy, dilated, 1MM, Autosomal dominant;Cardiomyopathy, hypertrophic, 4, Autosomal dominant;Left ventricular noncompaction 10, Autosomal dominant
SLC39A13	Spondylocheirodysplasia, Ehlers-Danlos syndrome-like, Autosomal recessive
RAPSN	Fetal akinesia deformation sequence, Autosomal recessive;Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency, Autosomal recessive
NDUFS3	Leigh syndrome due to mitochondrial complex I deficiency, Autosomal recessive, Mitochondrial;Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
PTPRJ	Colon cancer, somatic
SERPING1	Angioedema, hereditary, types I and II, Autosomal dominant;Complement component 4, partial deficiency of, Autosomal dominant
CLP1	Pontocerebellar hypoplasia, type 10, Autosomal recessive
FAM111B	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis, Autosomal dominant
FAM111A	Gracile bone dysplasia, Autosomal dominant;Kenny-Caffey syndrome, type 2, Autosomal dominant
GIF	Intrinsic factor deficiency, Autosomal recessive
MS4A1	Immunodeficiency, common variable, 5, Autosomal recessive
ZP1	Oocyte maturation defect 1, Autosomal recessive
TMEM138	Joubert syndrome 16, Autosomal recessive
TMEM216	Joubert syndrome 2, Autosomal recessive;Meckel syndrome 2, Autosomal recessive
SDHAF2	Paragangliomas 2, Autosomal dominant
BEST1	Bestrophinopathy, autosomal recessive;Macular dystrophy, vitelliform, 2, Autosomal dominant;Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma, Autosomal dominant;Retinitis pigmentosa, concentric;Retinitis pigmentosa-50;Vitreoretinochoroidopathy, Autosomal dominant
ROM1	Retinitis pigmentosa 7, digenic, Autosomal recessive, Autosomal dominant
B3GAT3	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects, Autosomal recessive
GANAB	Polycyctic kidney disease 3, Autosomal dominant
BSCL2	Encephalopathy, progressive, with or without lipodystrophy, Autosomal recessive;Lipodystrophy, congenital generalized, type 2, Autosomal recessive;Neuropathy, distal hereditary motor, type VA, Autosomal dominant;Silver spastic paraplegia syndrome, Autosomal dominant
ST3	Cervical carcinoma
ATL3	Neuropathy, hereditary sensory, type IF, Autosomal dominant
FERMT3	Leukocyte adhesion deficiency, type III, Autosomal recessive
SLC22A12	Hypouricemia, renal, Autosomal recessive
PYGM	McArdle disease, Autosomal recessive
MEN1	Adrenal adenoma, somatic (3);Angiofibroma, somatic (3);Carcinoid tumor of lung (3);Lipoma, somatic (3);Multiple endocrine neoplasia 1, Autosomal dominant;Parathyroid adenoma, somatic (3)
CAPN1	Spastic paraplegia 76, autosomal recessive, Autosomal recessive
SCYL1	Spinocerebellar ataxia, autosomal recessive 21, Autosomal recessive
LTBP3	Dental anomalies and short stature, Autosomal recessive
RNASEH2C	Aicardi-Goutieres syndrome 3, Autosomal recessive
EFEMP2	Cutis laxa, autosomal recessive, type IB, Autosomal recessive
FIBP	Thauvin-Robinet-Faivre syndrome, Autosomal recessive
BANF1	Nestor-Guillermo progeria syndrome, Autosomal recessive
CATSPER1	Spermatogenic failure 7, Autosomal recessive
PACS1	Schuurs-Hoeijmakers syndrome, Autosomal dominant
KLC2	Spastic paraplegia, optic atrophy, and neuropathy, Autosomal recessive
B4GAT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13, Autosomal recessive
BBS1	Bardet-Biedl syndrome 1, Autosomal recessive, Digenic recessive
CTSF	Ceroid lipofuscinosis, neuronal, 13, Kufs type, Autosomal recessive
SPTBN2	Spinocerebellar ataxia 5, Autosomal dominant;Spinocerebellar ataxia, autosomal recessive 14, Autosomal recessive
PC	Pyruvate carboxylase deficiency, Autosomal recessive
CLCF1	Cold-induced sweating syndrome 2, Autosomal recessive
CABP4	Cone-rod synaptic disorder, congenital nonprogressive, Autosomal recessive
AIP	Pituitary adenoma, ACTH-secreting, Autosomal recessive;Pituitary adenoma, growth hormone-secreting, Autosomal dominant, Somatic mutation;Pituitary adenoma, prolactin-secreting
CABP2	Deafness, autosomal recessive 93, Autosomal recessive
NDUFV1	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
NDUFS8	Leigh syndrome due to mitochondrial complex I deficiency, Autosomal recessive, Mitochondrial
TCIRG1	Osteopetrosis, autosomal recessive 1, Autosomal recessive
LRP5	Exudative vitreoretinopathy 4, Autosomal recessive, Autosomal dominant;Hyperostosis, endosteal, Autosomal dominant;Osteopetrosis, autosomal dominant 1, Autosomal dominant;Osteoporosis-pseudoglioma syndrome, Autosomal recessive;Osteosclerosis, Autosomal dominant;van Buchem disease, type 2, Autosomal dominant
CPT1A	CPT deficiency, hepatic, type IA, Autosomal recessive
IGHMBP2	Charcot-Marie-Tooth disease, axonal, type 2S, Autosomal recessive;Neuronopathy, distal hereditary motor, type VI, Autosomal recessive
FGF3	Deafness, congenital with inner ear agenesis, microtia, and microdontia, Autosomal recessive
FADD	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovasuclar malformations, Autosomal recessive
DHCR7	Smith-Lemli-Opitz syndrome, Autosomal recessive
NUMA1	Leukemia, acute promyelocytic, somatic
LRTOMT	Deafness, autosomal recessive 63, Autosomal recessive
FOLR1	Neurodegeneration due to cerebral folate transport deficiency, Autosomal recessive
INPPL1	Opsismodysplasia, Autosomal recessive
PHOX2A	Fibrosis of extraocular muscles, congenital, 2, Autosomal recessive
CLPB	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, Autosomal recessive
DNAJB13	Ciliary dyskinesia, primary, 34, Autosomal recessive
KCNE3	Brugada syndrome 6
SERPINH1	Osteogenesis imperfecta, type X, Autosomal recessive
CAPN5	Vitreoretinopathy, neovascular inflammatory, Autosomal dominant
MYO7A	Deafness, autosomal dominant 11, Autosomal dominant;Deafness, autosomal recessive 2, Autosomal recessive;Usher syndrome, type 1B, Autosomal recessive
ALG8	Congenital disorder of glycosylation, type Ih
NARS2	Combined oxidative phosphorylation deficiency 24, Autosomal recessive
TENM4	Tremor, hereditary essential, 5, Autosomal dominant
TMEM126B	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
TMEM126A	Optic atrophy 7, Autosomal recessive
PICALM	Leukemia, acute myeloid, somatic
HIKESHI	Leukodystrophy, hypomyelinating, 13, Autosomal recessive
FZD4	Exudative vitreoretinopathy 1, Autosomal dominant;Retinopathy of prematurity, Autosomal dominant
CTSC	Haim-Munk syndrome, Autosomal recessive;Papillon-Lefevre syndrome, Autosomal recessive;Periodontitis 1, juvenile, Autosomal recessive
TYR	Albinism, oculocutaneous, type IA, Autosomal recessive;Albinism, oculocutaneous, type IB;Waardenburg syndrome/albinism, digenic, Autosomal dominant
MED17	Microcephaly, postnatal progressive, with seizures and brain atrophy, Autosomal recessive
MRE11	Ataxia-telangiectasia-like disorder, Autosomal recessive
CEP57	Mosaic variegated aneuploidy syndrome 2, Autosomal recessive
MTMR2	Charcot-Marie-Tooth disease, type 4B1, Autosomal recessive
MAML2	Mucoepidermoid salivary gland carcinoma (3)
TRPC6	Glomerulosclerosis, focal segmental, 2
YAP1	Coloboma, ocular, Autosomal dominant;Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation, Autosomal dominant
MMP20	Amelogenesis imperfecta, type IIA2, Autosomal recessive
MMP1	COPD, rate of decline of lung function in
MMP13	Metaphyseal anadysplasia 1, Autosomal dominant;Metaphyseal dysplasia, Spahr type, Autosomal recessive;Spondyloepimetaphyseal dysplasia, Missouri type, Autosomal dominant
DYNC2H1	Short-rib thoracic dysplasia 3 with or without polydactyly, Autosomal recessive, Digenic recessive
ACAT1	Alpha-methylacetoacetic aciduria, Autosomal recessive
ATM	Ataxia-telangiectasia, Autosomal recessive;Lymphoma, B-cell non-Hodgkin, somatic (3);Lymphoma, mantle cell, somatic (3);T-cell prolymphocytic leukemia, somatic (3)
EXPH5	Epidermolysis bullosa, nonspecific, autosomal recessive, Autosomal recessive
RDX	Deafness, autosomal recessive 24, Autosomal recessive
PPP2R1B	Lung cancer, Autosomal recessive
ALG9	Congenital disorder of glycosylation, type Il;Gillessen-Kaesbach-Nishimura syndrome, Autosomal recessive
CRYAB	Cardiomyopathy, dilated, 1II, Autosomal dominant;Cataract 16, multiple types, Autosomal recessive, Autosomal dominant;Myopathy, myofibrillar, 2, Autosomal dominant;Myopathy, myofibrillar, fatal infantile hypertrophy, alpha-B crystallin-related, Autosomal recessive
DLAT	Pyruvate dehydrogenase E2 deficiency, Autosomal recessive
SDHD	Carcinoid tumors, intestinal, Autosomal dominant;Cowden syndrome 3;Merkel cell carcinoma, somatic (3);Mitochondrial complex II deficiency, Autosomal recessive;Paraganglioma and gastric stromal sarcoma;Paragangliomas 1, with or without deafness, Autosomal dominant;Pheochromocytoma, Autosomal dominant
PTS	Hyperphenylalaninemia, BH4-deficient, A, Autosomal recessive
ANKK1	Dopamine receptor D2, reduced brain density of (3)
ZBTB16	Leukemia, acute promyelocytic, PL2F/RARA type (3);Skeletal defects, genital hypoplasia, and mental retardation, Autosomal recessive
NNMT	Homocysteine plasma level
APOA5	Hyperchylomicronemia, late-onset, Autosomal dominant
APOC3	Apolipoprotein C-III deficiency
APOA1	Amyloidosis, 3 or more types, Autosomal dominant;ApoA-I and apoC-III deficiency, combined (3);Corneal clouding, autosomal recessive (3);Hypoalphalipoproteinemia
CEP164	Nephronophthisis 15, Autosomal recessive
FXYD2	Hypomagnesemia 2, renal, Autosomal dominant
IL10RA	Inflammatory bowel disease 28, early onset, autosomal recessive, Autosomal recessive
SCN4B	Atrial fibrillation, familial, 17, Autosomal dominant;Long QT syndrome-10, Autosomal dominant
SCN2B	Atrial fibrillation, familial, 14, Autosomal dominant
CD3E	Immunodeficiency 18, Autosomal recessive;Immunodeficiency 18, SCID variant, Autosomal recessive
CD3D	Immunodeficiency 19, Autosomal recessive
CD3G	Immunodeficiency 17, CD3 gamma deficient, Autosomal recessive
KMT2A	Leukemia, myeloid/lymphoid or mixed-lineage, Autosomal dominant;Wiedemann-Steiner syndrome, Autosomal dominant
ARCN1	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay, Autosomal dominant
TREH	Trehalase deficiency
SLC37A4	Glycogen storage disease Ib, Autosomal recessive;Glycogen storage disease Ic, Autosomal recessive
VPS11	Leukodystrophy, hypomyelinating, 12, Autosomal recessive
HMBS	Porphyria, acute intermittent, Autosomal dominant;Porphyria, acute intermittent, nonerythroid variant, Autosomal dominant
DPAGT1	Congenital disorder of glycosylation, type Ij, Autosomal recessive;Myasthenic syndrome, congenital, 13, with tubular aggregates, Autosomal recessive
CBL	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia, Autosomal dominant
C1QTNF5	Retinal degeneration, late-onset, autosomal dominant, Autosomal dominant
MFRP	Microphthalmia, isolated 5, Autosomal recessive;Nanophthalmos 2
NECTIN1	Cleft lip/palate-ectodermal dysplasia syndrome, Autosomal recessive;Orofacial cleft 7, Autosomal recessive
TECTA	Deafness, autosomal dominant 8/12, Autosomal dominant;Deafness, autosomal recessive 21, Autosomal recessive
SC5D	Lathosterolosis, Autosomal recessive
CLMP	Congenital short bowel syndrome, Autosomal recessive
SCN3B	Atrial fibrillation, familial, 16, Autosomal dominant;Brugada syndrome 7, Autosomal dominant
ROBO3	Gaze palsy, horizontal, with progressive scoliosis, Autosomal recessive
HEPACAM	Megalencephalic leukoencephalopathy with subcortical cysts 2A, Autosomal recessive;Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation, Autosomal dominant
HYLS1	Hydrolethalus syndrome, Autosomal recessive
CDON	Holoprosencephaly 11, Autosomal dominant, Isolated cases
FOXRED1	Leigh syndrome due to mitochondrial complex I deficiency, Autosomal recessive, Mitochondrial;Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
DCPS	Al-Raqad syndrome, Autosomal recessive
KIRREL3	Mental retardation, autosomal dominant 4
KCNJ1	Bartter syndrome, type 2, Autosomal recessive
KCNJ5	Hyperaldosteronism, familial, type III, Autosomal dominant;Long QT syndrome 13, Autosomal dominant
ST14	Ichthyosis, congenital, autosomal recessive 11, Autosomal recessive
DFNB20	Deafness, autosomal recessive 20, Autosomal recessive
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts, Autosomal recessive
ACAD8	Isobutyryl-CoA dehydrogenase deficiency
WNK1	Neuropathy, hereditary sensory and autonomic, type II, Autosomal recessive;Pseudohypoaldosteronism, type IIC, Autosomal dominant
CACNA2D4	Retinal cone dystrophy 4, Autosomal recessive
CACNA1C	Brugada syndrome 3;Timothy syndrome, Autosomal dominant
CCND2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3, Autosomal dominant
FGF23	Hypophosphatemic rickets, autosomal dominant, Autosomal dominant;Osteomalacia, tumor-induced (1);Tumoral calcinosis, hyperphosphatemic, familial, Autosomal recessive
NDUFA9	Leigh syndrome due to mitochondrial complex I deficiency, Autosomal recessive, Mitochondrial
KCNA1	Episodic ataxia/myokymia syndrome, Autosomal dominant
KCNA5	Atrial fibrillation, familial, 7, Autosomal dominant
VWF	von Willebrand disease, type 1, Autosomal dominant;von Willebrand disease, types 2A, 2B, 2M, and 2N, Autosomal recessive, Autosomal dominant;von Willibrand disease, type 3, Autosomal recessive
TNFRSF1A	Periodic fever, familial, Autosomal dominant
SCNN1A	Bronchiectasis with or without elevated sweat chloride 2, Autosomal dominant;Pseudohypoaldosteronism, type I, Autosomal recessive
CD27	Lymphoproliferative syndrome 2, Autosomal recessive
VAMP1	Spastic ataxia 1, autosomal dominant, Autosomal dominant
CHD4	Sifrim-Hitz-Weiss syndrome, Autosomal dominant
CD4	OKT4 epitope deficiency
GNB3	Night blindness, congenital stationary, type 1H, Autosomal recessive
TPI1	Hemolytic anemia due to triosephosphate isomerase deficiency, Autosomal recessive
ATN1	Dentatorubro-pallidoluysian atrophy, Autosomal dominant
C12orf57	Temtamy syndrome, Autosomal recessive
EMG1	Bowen-Conradi syndrome, Autosomal recessive
C1S	C1s deficiency;Ehlers-Danlos syndrome, periodontal type, 2, Autosomal dominant
C1R	Ehlers-Danlos syndrome, periodontal type, 1, Autosomal dominant
